REGIÃO GEOGRÁFICA;PAÍS;EXPORTAÇÃO DE PETRÓLEO;ANO
Américas Central e do Sul;Colômbia;0;2021
Américas Central e do Sul;Colômbia;0;2022
Américas Central e do Sul;Colômbia;0;2023
Américas Central e do Sul;Colômbia;0;2024
Américas Central e do Sul;Ilhas Virgens Americanas;0;2015
Américas Central e do Sul;Ilhas Virgens Americanas;0;2016
Américas Central e do Sul;Ilhas Virgens Americanas;0;2017
Américas Central e do Sul;Ilhas Virgens Americanas;0;2018
Américas Central e do Sul;Ilhas Virgens Americanas;0;2019
Américas Central e do Sul;Ilhas Virgens Americanas;0;2020
Américas Central e do Sul;Ilhas Virgens Americanas;0;2021
Américas Central e do Sul;Ilhas Virgens Americanas;421,9864478;2022
Américas Central e do Sul;Ilhas Virgens Americanas;729,5600366;2023
Américas Central e do Sul;Ilhas Virgens Americanas;0;2024
Américas Central e do Sul;Jamaica;0;2015
Américas Central e do Sul;Jamaica;0;2016
Américas Central e do Sul;Jamaica;0;2017
Américas Central e do Sul;Jamaica;0;2018
Américas Central e do Sul;Jamaica;197,6629683;2019
Américas Central e do Sul;Jamaica;2925,389159;2020
Américas Central e do Sul;Jamaica;979,7055087;2021
Américas Central e do Sul;Jamaica;2899,724139;2022
Américas Central e do Sul;Jamaica;1672,091303;2023
Américas Central e do Sul;Jamaica;1698,687407;2024
Américas Central e do Sul;Panamá;0;2015
Américas Central e do Sul;Panamá;0;2016
Américas Central e do Sul;Panamá;3900,281852;2017
Américas Central e do Sul;Panamá;3430,484731;2018
Américas Central e do Sul;Panamá;0;2019
Américas Central e do Sul;Panamá;1944,910868;2020
Américas Central e do Sul;Panamá;970,0408296;2021
Américas Central e do Sul;Panamá;0;2022
Américas Central e do Sul;Panamá;2443,085141;2023
Américas Central e do Sul;Panamá;0;2024
Américas Central e do Sul;Peru;888;2015
Américas Central e do Sul;Peru;1696,290844;2016
Américas Central e do Sul;Peru;3053,16447;2017
Américas Central e do Sul;Peru;394,9630671;2018
Américas Central e do Sul;Peru;0;2019
Américas Central e do Sul;Peru;1938,251224;2020
Américas Central e do Sul;Peru;10628,31876;2021
Américas Central e do Sul;Peru;7127,193183;2022
Américas Central e do Sul;Peru;6464,999249;2023
Américas Central e do Sul;Peru;2876,534911;2024
Américas Central e do Sul;Santa Lúcia;16746;2015
Américas Central e do Sul;Santa Lúcia;9985,872333;2016
Américas Central e do Sul;Santa Lúcia;9889,892584;2017
Américas Central e do Sul;Santa Lúcia;6483,547845;2018
Américas Central e do Sul;Santa Lúcia;912,9149175;2019
Américas Central e do Sul;Santa Lúcia;997,333709;2020
Américas Central e do Sul;Santa Lúcia;2942,76701;2021
Américas Central e do Sul;Santa Lúcia;0;2022
Américas Central e do Sul;Santa Lúcia;962,2956291;2023
Américas Central e do Sul;Santa Lúcia;999,1383484;2024
Américas Central e do Sul;Trinidad e Tobago;0;2015
Américas Central e do Sul;Trinidad e Tobago;506,565494;2016
Américas Central e do Sul;Trinidad e Tobago;0;2017
Américas Central e do Sul;Trinidad e Tobago;0;2018
Américas Central e do Sul;Trinidad e Tobago;0;2019
Américas Central e do Sul;Trinidad e Tobago;0;2020
Américas Central e do Sul;Trinidad e Tobago;0;2021
Américas Central e do Sul;Trinidad e Tobago;0;2022
Américas Central e do Sul;Trinidad e Tobago;0;2023
Américas Central e do Sul;Trinidad e Tobago;0;2024
Américas Central e do Sul;Uruguai;26461;2015
Américas Central e do Sul;Uruguai;36533,3107;2016
Américas Central e do Sul;Uruguai;15248,8415;2017
Américas Central e do Sul;Uruguai;19811,86951;2018
Américas Central e do Sul;Uruguai;12632,9476;2019
Américas Central e do Sul;Uruguai;2873,9415;2020
Américas Central e do Sul;Uruguai;0;2021
Américas Central e do Sul;Uruguai;3892,560806;2022
Américas Central e do Sul;Uruguai;2935,918529;2023
Américas Central e do Sul;Uruguai;0;2024
Europa;Chipre;0;2015
Europa;Chipre;0;2016
Europa;Chipre;0;2017
Europa;Chipre;0;2018
Europa;Chipre;0;2019
Europa;Chipre;0;2020
Europa;Chipre;0;2021
Europa;Chipre;0;2022
Europa;Chipre;1937,977268;2023
Europa;Chipre;0;2024
Europa;Croácia;0;2015
Europa;Croácia;379,465596;2016
Europa;Croácia;0;2017
Europa;Croácia;0;2018
Europa;Croácia;0;2019
Europa;Croácia;0;2020
Europa;Croácia;0;2021
Europa;Croácia;0;2022
Europa;Croácia;0;2023
Europa;Croácia;0;2024
Europa;Espanha;10982;2015
Europa;Espanha;16411,39099;2016
Europa;Espanha;24575,49579;2017
Europa;Espanha;37680,37939;2018
Europa;Espanha;16451,37799;2019
Europa;Espanha;26340,65951;2020
Europa;Espanha;17223,64507;2021
Europa;Espanha;41298,19705;2022
Europa;Espanha;46292,80526;2023
Europa;Espanha;68281,96719;2024
Europa;Finlândia;0;2015
Europa;Finlândia;0;2016
Europa;Finlândia;0;2017
Europa;Finlândia;0;2018
Europa;Finlândia;0;2019
Europa;Finlândia;0;2020
Europa;Finlândia;0;2021
Europa;Finlândia;0;2022
Europa;Finlândia;512,3000355;2023
Europa;Finlândia;0;2024
Europa;França;0;2015
Europa;França;975,1946377;2016
Europa;França;0;2017
Europa;França;0;2018
Europa;França;2185,352321;2019
Europa;França;2440,718929;2020
Europa;França;992,1585462;2021
Europa;França;6442,046767;2022
Europa;França;3721,691205;2023
Europa;França;7340,028024;2024
Europa;Grécia;0;2015
Europa;Grécia;0;2016
Europa;Grécia;0;2017
Europa;Grécia;0;2018
Europa;Grécia;0;2019
Europa;Grécia;0;2020
Europa;Grécia;0;2021
Europa;Grécia;0;2022
Europa;Grécia;999,0984438;2023
Europa;Grécia;0;2024
Europa;Itália;0;2015
Europa;Itália;2446,670503;2016
Europa;Itália;2,09994E-05;2017
Europa;Itália;0;2018
Europa;Itália;0;2019
Europa;Itália;2845,385777;2020
Europa;Itália;2379,27098;2021
Europa;Itália;3926,334455;2022
Europa;Itália;3915,473168;2023
Europa;Itália;4764,963278;2024
Europa;Noruega;0;2015
Europa;Noruega;0;2016
Europa;Noruega;0,002652924;2017
Europa;Noruega;0,002680923;2018
Europa;Noruega;1864,042483;2019
Europa;Noruega;1920,254356;2020
Europa;Noruega;2004,549503;2021
Europa;Noruega;981,1875023;2022
Europa;Noruega;0;2023
Europa;Noruega;0,003395068;2024
Europa;Países Baixos (Holanda);3776;2015
Europa;Países Baixos (Holanda);5500,979384;2016
Europa;Países Baixos (Holanda);3312,969693;2017
Europa;Países Baixos (Holanda);0;2018
Europa;Países Baixos (Holanda);7187,528275;2019
Europa;Países Baixos (Holanda);12573,16603;2020
Europa;Países Baixos (Holanda);18835,12898;2021
Europa;Países Baixos (Holanda);22990,29706;2022
Europa;Países Baixos (Holanda);47253,68722;2023
Europa;Países Baixos (Holanda);45313,84268;2024
Europa;Portugal;4926;2015
Europa;Portugal;2971,334022;2016
Europa;Portugal;8565,772334;2017
Europa;Portugal;5843,685964;2018
Europa;Portugal;4710,646064;2019
Europa;Portugal;20697,637;2020
Europa;Portugal;25118,89381;2021
Europa;Portugal;27573,69727;2022
Europa;Portugal;29060,47005;2023
Europa;Portugal;30367,73784;2024
Europa;Reino Unido;0;2015
Europa;Reino Unido;853,7423922;2016
Europa;Reino Unido;0;2017
Europa;Reino Unido;0;2018
Europa;Reino Unido;6,9998E-06;2019
Europa;Reino Unido;0;2020
Europa;Reino Unido;0,00011436;2021
Europa;Reino Unido;0,008005213;2022
Europa;Reino Unido;896,0374697;2023
Europa;Reino Unido;0,000214425;2024
Europa;Romênia;0;2015
Europa;Romênia;0;2016
Europa;Romênia;0;2017
Europa;Romênia;0;2018
Europa;Romênia;0;2019
Europa;Romênia;0;2020
Europa;Romênia;0;2021
Europa;Romênia;0;2022
Europa;Romênia;966,1746192;2023
Europa;Romênia;0;2024
Europa;Suécia;0;2015
Europa;Suécia;0;2016
Europa;Suécia;0;2017
Europa;Suécia;0;2018
Europa;Suécia;0;2019
Europa;Suécia;0;2020
Europa;Suécia;1639,895988;2021
Europa;Suécia;538,5784829;2022
Europa;Suécia;357,2408805;2023
Europa;Suécia;0;2024
Oriente Médio;Arábia Saudita;0;2015
Oriente Médio;Arábia Saudita;0;2016
Oriente Médio;Arábia Saudita;0;2017
Oriente Médio;Arábia Saudita;0;2018
Oriente Médio;Arábia Saudita;0,00020013;2019
Oriente Médio;Arábia Saudita;0;2020
Oriente Médio;Arábia Saudita;0;2021
Oriente Médio;Arábia Saudita;0;2022
Oriente Médio;Arábia Saudita;0;2023
Oriente Médio;Arábia Saudita;0;2024
Oriente Médio;Emirados Árabes Unidos;0;2015
Oriente Médio;Emirados Árabes Unidos;0;2016
Oriente Médio;Emirados Árabes Unidos;0;2017
Oriente Médio;Emirados Árabes Unidos;0;2018
Oriente Médio;Emirados Árabes Unidos;0;2019
Oriente Médio;Emirados Árabes Unidos;0;2020
Oriente Médio;Emirados Árabes Unidos;0;2021
Oriente Médio;Emirados Árabes Unidos;0;2022
Oriente Médio;Emirados Árabes Unidos;0;2023
Oriente Médio;Emirados Árabes Unidos;1554,964805;2024
Oriente Médio;Israel;0;2015
Oriente Médio;Israel;0;2016
Oriente Médio;Israel;0;2017
Oriente Médio;Israel;0;2018
Oriente Médio;Israel;0;2019
Oriente Médio;Israel;0;2020
Oriente Médio;Israel;1909,477867;2021
Oriente Médio;Israel;11954,1123;2022
Oriente Médio;Israel;1969,485027;2023
Oriente Médio;Israel;2977,19237;2024
África;África do Sul;0;2015
África;África do Sul;0;2016
África;África do Sul;0;2017
África;África do Sul;982,0624946;2018
África;África do Sul;0;2019
África;África do Sul;1954,993062;2020
África;África do Sul;0;2021
África;África do Sul;0;2022
África;África do Sul;0;2023
África;África do Sul;0;2024
África;Libéria;0;2015
África;Libéria;0;2016
África;Libéria;0;2017
África;Libéria;0;2018
África;Libéria;0;2019
África;Libéria;0,000100065;2020
África;Libéria;0;2021
África;Libéria;0;2022
África;Libéria;0;2023
África;Libéria;0;2024
Ásia-Pacífico;Austrália;0;2015
Ásia-Pacífico;Austrália;0;2016
Ásia-Pacífico;Austrália;0;2017
Ásia-Pacífico;Austrália;0;2018
Ásia-Pacífico;Austrália;0;2019
Ásia-Pacífico;Austrália;0;2020
Ásia-Pacífico;Austrália;0;2021
Ásia-Pacífico;Austrália;0;2022
Ásia-Pacífico;Austrália;0;2023
Ásia-Pacífico;Austrália;0,000135803;2024
Ásia-Pacífico;China;92093;2015
Ásia-Pacífico;China;108197,9257;2016
Ásia-Pacífico;China;154327,0116;2017
Ásia-Pacífico;China;227581,5902;2018
Ásia-Pacífico;China;269584,3403;2019
Ásia-Pacífico;China;292073,3459;2020
Ásia-Pacífico;China;227935,4803;2021
Ásia-Pacífico;China;192896,6898;2022
Ásia-Pacífico;China;265629,8296;2023
Ásia-Pacífico;China;280718,5688;2024
Ásia-Pacífico;Coreia do Sul;0;2015
Ásia-Pacífico;Coreia do Sul;0;2016
Ásia-Pacífico;Coreia do Sul;0;2017
Ásia-Pacífico;Coreia do Sul;0;2018
Ásia-Pacífico;Coreia do Sul;925,0080444;2019
Ásia-Pacífico;Coreia do Sul;15336,90897;2020
Ásia-Pacífico;Coreia do Sul;22094,18359;2021
Ásia-Pacífico;Coreia do Sul;20094,48504;2022
Ásia-Pacífico;Coreia do Sul;14361,5399;2023
Ásia-Pacífico;Coreia do Sul;15870,35716;2024
Ásia-Pacífico;Filipinas;0;2015
Ásia-Pacífico;Filipinas;0;2016
Ásia-Pacífico;Filipinas;0;2017
Ásia-Pacífico;Filipinas;0;2018
Ásia-Pacífico;Filipinas;935,6764461;2019
Ásia-Pacífico;Filipinas;961,4164566;2020
Ásia-Pacífico;Filipinas;0;2021
Ásia-Pacífico;Filipinas;0;2022
Ásia-Pacífico;Filipinas;0;2023
Ásia-Pacífico;Filipinas;0;2024
Ásia-Pacífico;Hong Kong;0;2015
Ásia-Pacífico;Hong Kong;0;2016
Ásia-Pacífico;Hong Kong;1464,398062;2017
Ásia-Pacífico;Hong Kong;0;2018
Ásia-Pacífico;Hong Kong;0;2019
Ásia-Pacífico;Hong Kong;0;2020
Ásia-Pacífico;Hong Kong;0;2021
Ásia-Pacífico;Hong Kong;0;2022
Ásia-Pacífico;Hong Kong;0;2023
Ásia-Pacífico;Hong Kong;0;2024
Ásia-Pacífico;Ilhas Marshall;0;2015
Ásia-Pacífico;Ilhas Marshall;0;2016
Ásia-Pacífico;Ilhas Marshall;0;2017
Ásia-Pacífico;Ilhas Marshall;0;2018
Ásia-Pacífico;Ilhas Marshall;0;2019
Ásia-Pacífico;Ilhas Marshall;0;2020
Ásia-Pacífico;Ilhas Marshall;0;2021
Ásia-Pacífico;Ilhas Marshall;0,000714751;2022
Ásia-Pacífico;Ilhas Marshall;0;2023
Ásia-Pacífico;Ilhas Marshall;0;2024
Ásia-Pacífico;Índia;28913;2015
Ásia-Pacífico;Índia;21243,79931;2016
Ásia-Pacífico;Índia;33510,22593;2017
Ásia-Pacífico;Índia;19319,38305;2018
Ásia-Pacífico;Índia;17930,98565;2019
Ásia-Pacífico;Índia;28940,82764;2020
Ásia-Pacífico;Índia;36405,98349;2021
Ásia-Pacífico;Índia;23158,35287;2022
Ásia-Pacífico;Índia;11611,03226;2023
Ásia-Pacífico;Índia;18090,49793;2024
Ásia-Pacífico;Indonésia;0;2015
Ásia-Pacífico;Indonésia;0;2016
Ásia-Pacífico;Indonésia;0;2017
Ásia-Pacífico;Indonésia;0;2018
Ásia-Pacífico;Indonésia;970,8759957;2019
Ásia-Pacífico;Indonésia;485,9406426;2020
Ásia-Pacífico;Indonésia;0;2021
Ásia-Pacífico;Indonésia;0;2022
Ásia-Pacífico;Indonésia;1921,731768;2023
Ásia-Pacífico;Indonésia;0;2024
Ásia-Pacífico;Japão;0;2015
Ásia-Pacífico;Japão;0;2016
Ásia-Pacífico;Japão;0;2017
Ásia-Pacífico;Japão;0;2018
Ásia-Pacífico;Japão;0;2019
Ásia-Pacífico;Japão;0;2020
Ásia-Pacífico;Japão;936,7892487;2021
Ásia-Pacífico;Japão;0;2022
Ásia-Pacífico;Japão;0;2023
Ásia-Pacífico;Japão;0;2024
Ásia-Pacífico;Malásia;2153;2015
Ásia-Pacífico;Malásia;987,0174557;2016
Ásia-Pacífico;Malásia;1061,055605;2017
Ásia-Pacífico;Malásia;521,4551521;2018
Ásia-Pacífico;Malásia;4482,879939;2019
Ásia-Pacífico;Malásia;14155,13929;2020
Ásia-Pacífico;Malásia;12661,44255;2021
Ásia-Pacífico;Malásia;12975,39153;2022
Ásia-Pacífico;Malásia;11835,37263;2023
Ásia-Pacífico;Malásia;17304,52422;2024
Ásia-Pacífico;Singapura;0;2015
Ásia-Pacífico;Singapura;0;2016
Ásia-Pacífico;Singapura;1506,655447;2017
Ásia-Pacífico;Singapura;937,951122;2018
Ásia-Pacífico;Singapura;4833,211178;2019
Ásia-Pacífico;Singapura;15826,26496;2020
Ásia-Pacífico;Singapura;15813,17502;2021
Ásia-Pacífico;Singapura;17476,11137;2022
Ásia-Pacífico;Singapura;16031,29532;2023
Ásia-Pacífico;Singapura;22134,43688;2024
Ásia-Pacífico;Taiwan (Formosa);0;2015
Ásia-Pacífico;Taiwan (Formosa);3806,96768;2016
Ásia-Pacífico;Taiwan (Formosa);5701,545652;2017
Ásia-Pacífico;Taiwan (Formosa);1914,467066;2018
Ásia-Pacífico;Taiwan (Formosa);0,000174995;2019
Ásia-Pacífico;Taiwan (Formosa);0;2020
Ásia-Pacífico;Taiwan (Formosa);0;2021
Ásia-Pacífico;Taiwan (Formosa);0;2022
Ásia-Pacífico;Taiwan (Formosa);0;2023
Ásia-Pacífico;Taiwan (Formosa);0;2024
Ásia-Pacífico;Tailândia;0;2015
Ásia-Pacífico;Tailândia;0;2016
Ásia-Pacífico;Tailândia;0;2017
Ásia-Pacífico;Tailândia;0;2018
Ásia-Pacífico;Tailândia;0;2019
Ásia-Pacífico;Tailândia;0;2020
Ásia-Pacífico;Tailândia;0;2021
Ásia-Pacífico;Tailândia;484,578377;2022
Ásia-Pacífico;Tailândia;0;2023
Ásia-Pacífico;Tailândia;3633,268606;2024
