ano,periodo,tipo,data_protocolo,lucro_liquido_usd_milhoes,variacao_usd_milhoes,variacao_pct,pagina,norma,secao,metrica,trecho,url_documento,url_indice,accession
2013,ano,20-F,2014-04-30,11094,60.0,0.0054,F-7,IFRS,Consolidated Statement of Income,Net income attributable to the shareholders of Petrobras,"Net income attributable to the shareholders of Petrobras 11,094  [2013]  11,034 [2012]  20,121 [2011]",https://www.sec.gov/Archives/edgar/data/1119639/000129281414001060/pbraform20f_2013.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281414001060/0001292814-14-001060-index.htm,0001292814-14-001060
2014,ano,20-F,2015-05-15,-7367,-18461.0,,F-5,IFRS,Consolidated Statement of Income,Net income (loss) attributable to the shareholders of Petrobras,"Net income (loss) attributable to the shareholders of Petrobras (7,367)  [2014]  11,094 [2013]  11,034 [2012]",https://www.sec.gov/Archives/edgar/data/1119639/000129281415001242/pbraform20f_2014.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281415001242/0001292814-15-001242-index.htm,0001292814-15-001242
2015,ano,20-F,2016-04-28,-8450,-1083.0,-0.147,F-5,IFRS,Consolidated Statement of Income,Net income (loss) attributable to the shareholders of Petrobras,"Net income (loss) attributable to the shareholders of Petrobras (8,450)  [2015]  (7,367) [2014]  11,094 [2013]",https://www.sec.gov/Archives/edgar/data/1119639/000129281416004364/pbraform20f_2015.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281416004364/0001292814-16-004364-index.htm,0001292814-16-004364
2016,ano,20-F,2017-04-27,-4838,3612.0,0.4275,F-6,IFRS,Consolidated Statement of Income,Net income (loss) attributable to the shareholders of Petrobras,"Net income (loss) attributable to the shareholders of Petrobras (4,838)  [2016]  (8,450) [2015]  (7,367) [2014]",https://www.sec.gov/Archives/edgar/data/1119639/000119312517140235/d375139d20f.htm,https://www.sec.gov/Archives/edgar/data/1119639/000119312517140235/0001193125-17-140235-index.htm,0001193125-17-140235
2017,ano,20-F,2018-04-18,-91,4747.0,0.9812,F-9,IFRS,Consolidated Statement of Income,Net income (loss) attributable to the shareholders of Petrobras,"Net income (loss) attributable to the shareholders of Petrobras (91)  [2017]  (4,838) [2016]  (8,450) [2015]",https://www.sec.gov/Archives/edgar/data/1119639/000119312518120259/d521855d20f.htm,https://www.sec.gov/Archives/edgar/data/1119639/000119312518120259/0001193125-18-120259-index.htm,0001193125-18-120259
2018,ano,20-F,2019-04-01,7173,7264.0,,F-9,IFRS,Consolidated Statement of Income,Net income attributable to shareholders of Petrobras,"Net income attributable to shareholders of Petrobras 7,173  [2018]  (91) [2017]  (4,838) [2016]",https://www.sec.gov/Archives/edgar/data/1119639/000119312519093231/d692671d20f.htm,https://www.sec.gov/Archives/edgar/data/1119639/000119312519093231/0001193125-19-093231-index.htm,0001193125-19-093231
2019,ano,20-F,2020-03-23,10151,2978.0,0.4152,F-11,IFRS,Consolidated Statement of Income,Net income (loss) attributable to shareholders of Petrobras,"Net income (loss) attributable to shareholders of Petrobras 10,151  [2019]  7,173 [2018]  (91) [2017]. Inclui operações descontinuadas 2,491 (continuadas 7,660)",https://www.sec.gov/Archives/edgar/data/1119639/000119312520080953/d883642d20f.htm,https://www.sec.gov/Archives/edgar/data/1119639/000119312520080953/0001193125-20-080953-index.htm,0001193125-20-080953
2020,ano,20-F,2021-03-25,1141,-9010.0,-0.8876,F-10,IFRS,Consolidated Statements of Income,Net income attributable to shareholders of Petrobras,"Net income attributable to shareholders of Petrobras 1,141  [2020]  10,151 [2019]  7,173 [2018]",https://www.sec.gov/Archives/edgar/data/1119639/000129281421001152/pbraform20f_2020.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281421001152/0001292814-21-001152-index.htm,0001292814-21-001152
2021,ano,20-F,2022-03-30,19875,18734.0,16.4189,F-10,IFRS,Consolidated Statements of Income,Net income attributable to shareholders of Petrobras,"Net income attributable to shareholders of Petrobras 19,875  [2021]  1,141 [2020]  10,151 [2019]",https://www.sec.gov/Archives/edgar/data/1119639/000129281422001285/pbraform20f_2021.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281422001285/0001292814-22-001285-index.htm,0001292814-22-001285
2022,ano,20-F,2023-03-29,36623,16748.0,0.8427,F-4,IFRS,Consolidated Statements of Income,Net income attributable to shareholders of Petrobras,"Net income attributable to shareholders of Petrobras 36,623  [2022]  19,875 [2021]  1,141 [2020]",https://www.sec.gov/Archives/edgar/data/1119639/000129281423001253/pbrform20f_2022.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281423001253/0001292814-23-001253-index.htm,0001292814-23-001253
2023,ano,20-F,2024-04-12,24884,-11739.0,-0.3205,F-4,IFRS,Consolidated Statements of Income,Net income attributable to shareholders of Petrobras,"Net income attributable to shareholders of Petrobras 24,884  [2023]  36,623 [2022]  19,875 [2021]",https://www.sec.gov/Archives/edgar/data/1119639/000129281424001340/pbrform20f_2023.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281424001340/0001292814-24-001340-index.htm,0001292814-24-001340
2024,ano,20-F,2025-04-03,7528,-17356.0,-0.6975,F-4,IFRS,Consolidated Statements of Income,Net income (loss) attributable to shareholders of Petrobras,"Net income (loss) attributable to shareholders of Petrobras 7,528  [2024]  24,884 [2023]  36,623 [2022]",https://www.sec.gov/Archives/edgar/data/1119639/000129281425001352/pbrform20f_2024.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281425001352/0001292814-25-001352-index.htm,0001292814-25-001352
2025,ano,20-F,2026-04-09,19634,12106.0,1.6081,F-4,IFRS,Consolidated Statements of Income,Net income attributable to shareholders of Petrobras,"Net income attributable to shareholders of Petrobras 19,634  [2025]  7,528 [2024]  24,884 [2023]",https://www.sec.gov/Archives/edgar/data/1119639/000129281426002168/pbrform20f_2025.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281426002168/0001292814-26-002168-index.htm,0001292814-26-002168
2026,1S (jan–jun),6-K,2026-08-07,16627,,,4,IFRS,Unaudited Condensed Consolidated Statements of Income (p. 4),Net income attributable to shareholders of Petrobras (1S2026),"Net income attributable to shareholders of Petrobras 16,627  [Jan-Jun/2026]  10,708 [Jan-Jun/2025]. Ano de 2026 incompleto — não há 20-F.",https://www.sec.gov/Archives/edgar/data/1119639/000129281426004133/pbrfs2q26usd_6k.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281426004133/0001292814-26-004133-index.htm,0001292814-26-004133
