ano,tipo,data_protocolo,divida_bruta_usd_milhoes,variacao_usd_milhoes,variacao_pct,pagina,secao,metrica,norma,trecho,url_documento,url_indice,accession
2012,20-F,2013-04-29,95963,13036.0,0.1572,12 / F-5,Selected Financial Data (p. 12) e BS (F-5),Current debt + Long-term debt (excl. current portion),IFRS,"Current debt 7,479 + Long-term debt 88,484 = U.S.$95,963 million. On December 31, 2012, our total short-term debt amounted to U.S.$7,497 million (inclui arrendamentos financeiros circulantes)",https://www.sec.gov/Archives/edgar/data/1119639/000129281413000928/pbraform20f_2012.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281413000928/0001292814-13-000928-index.htm,0001292814-13-000928
2013,20-F,2014-04-30,114325,18362.0,0.1913,Nota — Capital management,Notas — Net debt / Total debt (current and noncurrent),Total debt (current and noncurrent),IFRS,"Total debt (current and noncurrent) 114,325  [2013]  96,067 [2012]",https://www.sec.gov/Archives/edgar/data/1119639/000129281414001060/pbraform20f_2013.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281414001060/0001292814-14-001060-index.htm,0001292814-14-001060
2014,20-F,2015-05-15,132158,17833.0,0.156,Nota — Capital management / Item 3,"Notas — Total debt; Item 3 cita U.S.$132,086 million (c/ juros)",Total debt (current and noncurrent),IFRS,"Total debt (current and noncurrent) 132,158. Item 3: Our total debt (including accrued interest) increased by 16% to U.S.$132,086 million as of December 31, 2014",https://www.sec.gov/Archives/edgar/data/1119639/000129281415001242/pbraform20f_2014.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281415001242/0001292814-15-001242-index.htm,0001292814-15-001242
2015,20-F,2016-04-28,126216,-5942.0,-0.045,16 / Nota capital management,Item 3 (p. 16) e Notas — Total debt,Total debt (current and noncurrent),IFRS,"Total debt (current and noncurrent) 126,216. Item 3: Our total debt (including accrued interest) decreased by 4% to US$126,165 million as of December 31, 2015",https://www.sec.gov/Archives/edgar/data/1119639/000129281416004364/pbraform20f_2015.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281416004364/0001292814-16-004364-index.htm,0001292814-16-004364
2016,20-F,2017-04-27,118370,-7846.0,-0.0622,F-116,Notas — Capital management (F-116),Total debt (current and noncurrent),IFRS,"Total debt (current and noncurrent) 118,370  [2016]  126,262 [2015]",https://www.sec.gov/Archives/edgar/data/1119639/000119312517140235/d375139d20f.htm,https://www.sec.gov/Archives/edgar/data/1119639/000119312517140235/0001193125-17-140235-index.htm,0001193125-17-140235
2017,20-F,2018-04-18,109275,-9095.0,-0.0768,114,Item 5 — Adjusted EBITDA and Net Debt / Gross Debt,Current and non-current debt — Gross Debt,IFRS (pré-IFRS 16),"Current and non-current debt—Gross Debt  …  109,275  [2017]  118,370 [2016] (US$ million)",https://www.sec.gov/Archives/edgar/data/1119639/000119312518120259/d521855d20f.htm,https://www.sec.gov/Archives/edgar/data/1119639/000119312518120259/0001193125-18-120259-index.htm,0001193125-18-120259
2018,20-F,2019-04-01,84360,-24915.0,-0.228,114,Item 5 — Adjusted EBITDA and Net Debt / Gross Debt,Current and non-current debt — Gross Debt,IFRS (pré-IFRS 16),"Current and non-current debt – Gross Debt  …  84,360  [2018]  109,275 [2017] (US$ million)",https://www.sec.gov/Archives/edgar/data/1119639/000119312519093231/d692671d20f.htm,https://www.sec.gov/Archives/edgar/data/1119639/000119312519093231/0001193125-19-093231-index.htm,0001193125-19-093231
2019,20-F,2020-03-23,87121,2761.0,0.0327,139,Item 5 — Liquidity — Debt,"Gross Debt (finance debt + lease liabilities, IFRS 16)",IFRS 16,"Considering the effects of IFRS 16, our gross debt totaled US$87,121 million",https://www.sec.gov/Archives/edgar/data/1119639/000119312520080953/d883642d20f.htm,https://www.sec.gov/Archives/edgar/data/1119639/000119312520080953/0001193125-20-080953-index.htm,0001193125-20-080953
2020,20-F,2021-03-25,75538,-11583.0,-0.133,Liquidity — Debt / Nota 7,Item 5 — Debt; Nota 7 Capital management,Gross Debt (finance debt + lease liabilities),IFRS 16,"Our Gross Debt totaled US$75,538 million. As of December 31, 2020, gross debt decreased to US$ 75,538, from US$ 87,121 as of December 31, 2019",https://www.sec.gov/Archives/edgar/data/1119639/000129281421001152/pbraform20f_2020.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281421001152/0001292814-21-001152-index.htm,0001292814-21-001152
2021,20-F,2022-03-30,58743,-16795.0,-0.2223,F-21,Nota 7 — Capital management (F-21),Gross Debt (finance debt + lease liabilities),IFRS 16,"As of December 31, 2021, gross debt decreased to US$ 58,743, from US$ 75,538 as of December 31, 2020",https://www.sec.gov/Archives/edgar/data/1119639/000129281422001285/pbraform20f_2021.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281422001285/0001292814-22-001285-index.htm,0001292814-22-001285
2022,20-F,2023-03-29,53799,-4944.0,-0.0842,204,Item 5 — Liquidity — Debt (p. 204); Nota 7,Gross Debt (finance debt + lease liabilities),IFRS 16,"Our Gross Debt (which represents the sum of current and non-current finance debt and lease liabilities) totaled US$53,799 million",https://www.sec.gov/Archives/edgar/data/1119639/000129281423001253/pbrform20f_2022.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281423001253/0001292814-23-001253-index.htm,0001292814-23-001253
2023,20-F,2024-04-12,62600,8801.0,0.1636,F-21,Item 5 — Debt; Nota 7 Capital management (F-21),Gross Debt (finance debt + lease liabilities),IFRS 16,"Our Gross Debt (…) totaled US$62,600 million. As of December 31, 2023, gross debt increased to US$ 62,600, from US$ 53,799 as of December 31, 2022",https://www.sec.gov/Archives/edgar/data/1119639/000129281424001340/pbrform20f_2023.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281424001340/0001292814-24-001340-index.htm,0001292814-24-001340
2024,20-F,2025-04-03,60311,-2289.0,-0.0366,Nota 7 / Item 5 — Debt,Item 5 — Debt; Nota 7 Capital management,Gross Debt (finance debt + lease liabilities),IFRS 16,"Our Gross Debt (…) totaled US$60,311 million. As of December 31, 2024, gross debt decreased to US$ 60,311, from US$ 62,600 as of December 31, 2023",https://www.sec.gov/Archives/edgar/data/1119639/000129281425001352/pbrform20f_2024.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281425001352/0001292814-25-001352-index.htm,0001292814-25-001352
2025,20-F,2026-04-09,69793,9482.0,0.1572,180 / F-22,Item 5 — Debt (p. 180); Nota 7 (F-22),Gross Debt (finance debt + lease liabilities),IFRS 16,"Our Gross Debt (which represents the sum of current and non-current finance debt and lease liabilities) totaled US$69,793 million",https://www.sec.gov/Archives/edgar/data/1119639/000129281426002168/pbrform20f_2025.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281426002168/0001292814-26-002168-index.htm,0001292814-26-002168
